method,record_id,true_phase,pred_phase,is_correct,top_score,second_score,margin,top_indexing_status,top_is_fallback_orientation
image_ncc,r001,fe_bcc,fe_bcc,True,0.4004881766081649,0.1442260191072751,0.25626215750088976,ok,False
hough_ncc_raw,r001,fe_bcc,fe_bcc,True,0.7872283544076185,0.7070566811787795,0.080171673228839,ok,False
hough_ncc_bin_t350,r001,fe_bcc,fe_bcc,True,0.5994300910528727,0.4861951721238916,0.11323491892898113,ok,False
hough_ncc_bin_t450,r001,fe_bcc,fe_bcc,True,0.3679048174280146,0.2131472925820693,0.15475752484594532,ok,False
hough_ncc_bin_t550,r001,fe_bcc,fe_bcc,True,0.6488559654655943,0.6460452879558112,0.002810677509783144,ok,False
hough_ncc_bin_t650,r001,fe_bcc,fe_bcc,True,0.44531933370673915,0.32083158567079845,0.1244877480359407,ok,False
hough_ncc_bin_t750,r001,fe_bcc,fe_bcc,True,0.4843365362321415,0.2195884621709974,0.2647480740611441,ok,False
image_ncc,r002,fe3o4_magnetite,fe_bcc,False,0.25679072003864073,0.21807733923971773,0.038713380798923,failed,True
hough_ncc_raw,r002,fe3o4_magnetite,fe3o4_magnetite,True,0.8215436615655102,0.7598564316633235,0.06168722990218667,ok,False
hough_ncc_bin_t350,r002,fe3o4_magnetite,fe3o4_magnetite,True,0.7260185925550017,0.6685588429012157,0.057459749653785974,ok,False
hough_ncc_bin_t450,r002,fe3o4_magnetite,fe3o4_magnetite,True,0.30304539230261696,0.29162787212639213,0.011417520176224827,ok,False
hough_ncc_bin_t550,r002,fe3o4_magnetite,feo_wustite,False,0.6425976612452757,0.6143017290677355,0.02829593217754023,ok,False
hough_ncc_bin_t650,r002,fe3o4_magnetite,fe3o4_magnetite,True,0.7572817523221805,0.7112590650716553,0.046022687250525274,ok,False
hough_ncc_bin_t750,r002,fe3o4_magnetite,fe_bcc,False,0.5751295632274156,0.31001498771131464,0.26511457551610096,failed,True
image_ncc,r003,feo_wustite,fe_bcc,False,0.49813763349074525,0.19340128324116493,0.30473635024958035,failed,True
hough_ncc_raw,r003,feo_wustite,fe_bcc,False,0.8410265417373236,0.7575051127740946,0.083521428963229,failed,True
hough_ncc_bin_t350,r003,feo_wustite,fe_bcc,False,0.5980502417592469,0.5044401707071756,0.09361007105207131,failed,True
hough_ncc_bin_t450,r003,feo_wustite,fe_bcc,False,0.25760312918969747,0.1449537950200626,0.11264933416963488,failed,True
hough_ncc_bin_t550,r003,feo_wustite,fe_bcc,False,0.6919108909728662,0.5965672111498473,0.09534367982301883,failed,True
hough_ncc_bin_t650,r003,feo_wustite,fe_bcc,False,0.4418998630304018,0.38820307440447904,0.05369678862592275,failed,True
hough_ncc_bin_t750,r003,feo_wustite,fe_bcc,False,0.45808428531376955,0.3922752923774886,0.06580899293628095,failed,True
